term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
ascendancy,n.,优势；支配,supreme influence,The party gained ascendancy.,那个政党取得了优势。,8
aspersion,n.,诽谤；溅洒,a false accusation,He cast aspersion on her.,他诽谤了她。,8
assail,v.,攻击；抨击,to attack violently,They assailed the plan.,他们猛烈抨击那个计划。,8
assent,n./v.,同意；赞成,agreement,He gave his assent.,他表示了同意。,8
assert,v.,断言；主张,to state firmly,She asserted her right.,她主张自己的权利。,8
assiduous,adj.,勤勉的；坚持不懈的,diligent,He was assiduous in work.,他工作勤勉。,8
assuage,v.,缓和；平息,to soften,The words assuaged his grief.,那些话减轻了他的悲伤。,8
astute,adj.,敏锐的；精明的,shrewd,An astute investor profited.,精明的投资者获利了。,8
attenuate,v.,使变薄；减弱,to reduce strength,The drug attenuated the effect.,那种药减弱了效果。,8
augment,v.,增加；扩大,to make greater,They augmented the force.,他们增加了兵力。,8
auspicious,adj.,吉利的；有利的,favorable,The day was auspicious.,那天很吉利。,8
austere,adj.,朴素的；严厉的,severe and plain,The room was austere.,房间很朴素。,8
autonomous,adj.,自主的；自治的,self-governing,The region is autonomous.,那个地区是自治的。,8
aver,v.,断言；极力声明,to state confidently,He averred his innocence.,他极力声明自己无辜。,8
averse,adj.,反对的；厌恶的,reluctant,He was averse to risk.,他厌恶风险。,8
avow,v.,公开承认,to declare openly,She avowed her love.,她公开承认了爱意。,8
awry,adj./adv.,歪曲的；出错的,away from correct,The plan went awry.,计划出了岔子。,8
balmy,adj.,温和的；芳香的,mild and soothing,The balmy night relaxed him.,温和的夜晚让他放松。,8
banal,adj.,平庸的；陈腐的,commonplace,The movie was banal.,那部电影很平庸。,8
bard,n.,吟游诗人；诗人,a poet,The bard recited verses.,那位诗人吟诵了诗句。,8
barrage,n.,齐射；连发,a rapid outpouring,He faced a barrage of questions.,他面对一连串问题。,8
bastion,n.,堡垒；据点,a stronghold,The city was a bastion.,那座城市是堡垒。,8
befuddle,v.,使迷惑；使烂醉,to confuse,The riddle befuddled him.,那个谜题让他迷惑。,8
beget,v.,产生；引起,to cause,War begets misery.,战争带来苦难。,8
begrudge,v.,嫉妒；吝惜,to resent,He begrudged the praise.,他嫉妒那赞扬。,8
beholden,adj.,感激的；受惠的,owing thanks,He was beholden to her.,他受惠于她。,8
belabor,v.,冗长地讨论；痛打,to over-elaborate,Do not belabor the point.,不要赘述这一点。,8
belie,v.,掩饰；与…不符,to contradict,His smile belied his fear.,他的微笑掩饰了恐惧。,8
bellwether,n.,领头羊；风向标,a leader of trends,The state is a bellwether.,那个州是风向标。,8
bemoan,v.,哀叹；惋惜,to lament,She bemoaned the loss.,她哀叹损失。,8
bemused,adj.,困惑的；出神的,confused,He looked bemused.,他一脸困惑。,8
benefactor,n.,捐助者；恩人,a doer of good,The benefactor funded the school.,那位捐助者资助了学校。,8
bereave,v.,使丧失；使丧亲,to deprive of a loved one,The war bereaved many.,战争使许多人丧亲。,8
beset,v.,困扰；包围,to trouble from all sides,The ship was beset by storms.,船被风暴困扰。,8
besmirch,v.,诽谤；弄脏,to soil,They besmirched his name.,他们诽谤了他的名声。,8
betoken,v.,预示；表示,to indicate,The clouds betoken rain.,乌云预示下雨。,8
beware,v.,当心；提防,to be cautious,The sign said beware.,标牌写着当心。,8
bewilder,v.,使迷惑；使不知所措,to confuse deeply,The maze bewildered him.,迷宫让他不知所措。,8
bilk,v.,诈骗；赖账,to cheat,He bilked the lender.,他骗了贷款人。,8
blanch,v.,漂白；因恐惧而变白,to whiten,She blanched at the news.,她听到消息脸色发白。,8
blandishment,n.,甜言蜜语；奉承,flattery,He ignored the blandishments.,他无视那些奉承。,8
blase,adj.,厌倦享乐的；漠不关心的,unimpressed by pleasure,The blase critic yawned.,那个厌倦的评论家打了哈欠。,8
blatant,adj.,公然的；露骨的,obvious and offensive,It was a blatant lie.,那是公然的谎言。,8
blithe,adj.,无忧无虑的；轻率的,carefree,Her blithe mood lifted all.,她无忧无虑的情绪鼓舞了众人。,8
bluster,v./n.,咆哮；虚张声势,loud empty talk,He blustered in anger.,他怒气冲冲地咆哮。,8
bogus,adj.,伪造的；假的,false,The bogus ticket failed.,那张伪造的票无效。,8
boon,n.,恩惠；裨益,a blessing,The rain was a boon.,那场雨是恩惠。,8
boor,n.,粗野的人；乡巴佬,a rude person,The boor interrupted rudely.,那个粗野的人粗鲁地打断了。,8
borough,n.,自治市镇,a town,The borough held elections.,那个市镇举行了选举。,8
bourgeois,adj./n.,中产阶级的；平庸的,middle class,The bourgeois family prospered.,那个中产家庭兴旺了。,8
brace,v.,支撑；使振作,to prepare,He braced for impact.,他做好了承受冲击的准备。,8
brazen,adj.,厚颜的；黄铜制的,bold shameless,His brazen lie shocked.,他厚颜的谎言令人震惊。,8
breach,n./v.,破坏；违背,a break,The breach widened.,裂痕扩大了。,8
brevity,n.,简洁；短暂,shortness,His brevity pleased her.,他的简洁让她满意。,8
bridle,v.,抑制；昂首,to restrain,She bridled her anger.,她抑制了怒火。,8
broach,v.,提出；开启,to introduce a topic,He broached the subject.,他提出了那个话题。,8
brood,v./n.,沉思；一窝,to think anxiously,She brooded all night.,她整晚沉思。,8
browbeat,v.,吓唬；欺压,to intimidate,He browbeat the witness.,他吓唬证人。,8
buffet,v./n.,连续猛击；自助餐,a beating,The wind buffeted the ship.,风连续猛击船只。,8
bulwark,n.,堡垒；保障,a defensive wall,The law is a bulwark.,法律是保障。,8
bumptious,adj.,傲慢的；自大的,offensively self-assertive,The bumptious boy bragged.,那个傲慢的男孩吹嘘着。,8
buoyant,adj.,有浮力的；乐观的,cheerful and floating,The buoyant mood returned.,乐观的情绪回来了。,8
burgeon,v.,萌芽；迅速发展,to grow rapidly,The city burgeoned.,城市迅速发展。,8
burnish,v.,磨光；擦亮,to polish,He burnished the sword.,他擦亮了剑。,8
buttress,n./v.,扶壁；支持,a support,The pillar buttressed the wall.,柱子支撑了墙。,8
byzantine,adj.,错综复杂的；拜占庭式的,intricate,The byzantine rules confused.,错综复杂的规则令人困惑。,8
cabal,n.,密谋集团,a secret clique,The cabal plotted.,那个集团密谋。,8
cacophony,n.,刺耳声；不和谐,a harsh mix of sound,The cacophony hurt ears.,刺耳声刺耳。,8
cajole,v.,哄骗；劝诱,to coax,She cajoled him to stay.,她哄他留下。,8
callous,adj.,无情的；硬心肠的,uncaring,His callous act shocked.,他无情的行为令人震惊。,8
calumny,n.,诽谤；诬蔑,false slander,The calumny spread fast.,诽谤传得很快。,8
candor,n.,坦率；直率,frankness,She spoke with candor.,她坦率地说。,8
canny,adj.,精明的；谨慎的,shrewd,The canny trader profited.,精明的商人获利。,8
capitulate,v.,投降；屈服,to surrender,The fort capitulated.,城堡投降了。,8
caprice,n.,突发奇想；任性,a whim,His caprice surprised all.,他的奇想让所有人大吃一惊。,8
captious,adj.,挑剔的；爱找茬的,quick to find fault,The captious critic nagged.,爱找茬的评论家唠叨着。,8
carafe,n.,玻璃水瓶,a glass bottle,The carafe held water.,玻璃瓶里装着水。,8
cardinal,adj.,首要的；深红的,of basic importance,Trust is cardinal.,信任是首要的。,8
caricature,n.,讽刺画；滑稽模仿,an exaggerated portrayal,The caricature amused us.,那幅讽刺画让我们发笑。,8
carp,v.,挑剔；吹毛求疵,to complain nitpickingly,He carped at the meal.,他对饭菜吹毛求疵。,8
cartography,n.,制图学,the art of mapmaking,He studied cartography.,他学习制图学。,8
cascade,n./v.,瀑布；层叠,a waterfall,The cascade sparkled.,瀑布闪闪发光。,8
castigate,v.,严惩；申斥,to criticize severely,The teacher castigated him.,老师严厉批评了他。,8
catalyst,n.,催化剂；促进因素,an agent of change,The speech was a catalyst.,那场演讲是催化剂。,8
caustic,adj.,刻薄的；腐蚀性的,bitingly sarcastic,Her caustic wit hurt.,她刻薄的妙语伤人。,8
caveat,n.,警告；附带条件,a warning,The contract had a caveat.,合同有个附带条件。,8
cavil,v.,挑剔；吹毛求疵,to raise trivial objections,Do not cavil at details.,不要对细节吹毛求疵。,8
celerity,n.,迅速；敏捷,swiftness,He acted with celerity.,他行动迅速。,8
censure,n./v.,谴责；指责,strong disapproval,The senate censured him.,参议院谴责了他。,8
cerebral,adj.,大脑的；理智的,intellectual,The film is cerebral.,那部电影很理智。,8
chafe,v.,擦破；焦躁,to irritate by rubbing,The rope chafed his skin.,绳子擦破了他的皮。,8
chaff,n.,谷壳；无价值的东西,worthless matter,He separated the chaff.,他分出了谷壳。,8
chagrin,n.,懊恼；失望,distress from failure,To his chagrin he lost.,令他懊恼的是他输了。,8
chalice,n.,圣杯；酒杯,a goblet,The chalice gleamed.,圣杯闪闪发光。,8
champion,v.,拥护；支持,to defend,She championed the cause.,她拥护那个事业。,8
chaos,n.,混乱；混沌,total disorder,The chaos ended.,混乱结束了。,8
charlatan,n.,骗子；庸医,a fake expert,The charlatan was exposed.,那个骗子被揭穿了。,8
chary,adj.,谨慎的；吝啬的,cautious,He was chary of praise.,他吝于赞扬。,8
chassis,n.,底盘；机架,the frame of a vehicle,The chassis rusted.,底盘生锈了。,8
chasten,v.,惩戒；使端正,to correct by punishment,The loss chastened him.,那次失败惩戒了他。,8
chastise,v.,严惩；责骂,to punish,She chastised the dog.,她责罚了狗。,8
chauvinism,n.,沙文主义；盲目崇拜,excessive patriotism,His chauvinism angered them.,他的沙文主义激怒了他们。,8
chicanery,n.,诡计；欺骗,trickery,The trial exposed chicanery.,审判揭露了欺骗。,8
chide,v.,责备；训诫,to scold mildly,She chided the child.,她轻责了孩子。,8
chimerical,adj.,空想的；荒诞的,imaginary and impossible,The plan was chimerical.,那个计划是空想。,8
chisel,v./n.,凿；欺诈,to carve or cheat,He chiseled the stone.,他凿了石头。,8
choleric,adj.,易怒的；暴躁的,hot-tempered,The choleric man shouted.,那个暴躁的男人大喊。,8
circumlocution,n.,迂回说法；绕弯子,wordy evasiveness,His speech was circumlocution.,他的话是绕弯子。,8
circumscribe,v.,限制；包围,to restrict,The law circumscribed power.,法律限制了权力。,8
circumspect,adj.,谨慎的；周到的,careful,He was circumspect in deeds.,他行事谨慎。,8
circumvent,v.,规避；绕过,to avoid by artifice,They circumvented the rule.,他们规避了规则。,8
clairvoyant,adj./n.,有洞察力的；透视者,able to foresee,The clairvoyant predicted.,那个透视者预言了。,8
clamor,n./v.,喧闹；大声要求,loud noise,The clamor grew.,喧闹声增大了。,8
clandestine,adj.,秘密的；暗中的,secret,The clandestine meeting hid.,那次秘密会议隐藏了。,8
clangor,n.,叮当声；铿锵声,a loud ringing,The clangor echoed.,叮当声回荡。,8
cleave,v.,劈开；粘着,to split,He cleaved the log.,他劈开了木头。,8
cloying,adj.,甜得发腻的；过度的,excessively sweet,The cloying scent nauseated.,甜腻的气味令人作呕。,8
coagulate,v.,凝固；凝结,to thicken,The blood coagulated.,血液凝固了。,8
coalition,n.,联盟；联合,a temporary alliance,The coalition won.,联盟赢了。,8
coax,v.,哄劝；诱导,to persuade gently,She coaxed a smile.,她哄出了一个微笑。,8
coda,n.,尾声；终曲,a concluding part,The symphony had a coda.,交响乐有个尾声。,8
coerce,v.,强迫；胁迫,to force,They coerced a confession.,他们逼出口供。,8
cogent,adj.,有说服力的,convincing,His cogent point won.,他有说服力的观点赢了。,8
cogitate,v.,思考；谋划,to think deeply,He cogitated the plan.,他深思了计划。,8
cognizant,adj.,认识到的；知悉的,aware,He was cognizant of risk.,他意识到风险。,8
colander,n.,滤锅；漏勺,a strainer,She drained with a colander.,她用漏勺沥干。,8
collusion,n.,共谋；勾结,secret cooperation,The fraud involved collusion.,欺诈涉及勾结。,8
comely,adj.,清秀的；悦目的,pleasant to look at,The comely maiden sang.,那个清秀的少女唱歌了。,8
commensurate,adj.,相称的；相当的,proportional,His pay was commensurate.,他的薪酬相称。,8
commiserate,v.,同情；慰问,to express sympathy,She commiserated with him.,她对他表示同情。,8
compact,adj./v.,紧凑的；使紧凑,solid and small,The compact car fit.,那辆紧凑的车合适。,8
compelling,adj.,引人入胜的；强制的,irresistible,The story was compelling.,故事引人入胜。,8
compendium,n.,纲要；概略,a brief summary,The book is a compendium.,那本书是纲要。,8
compunction,n.,后悔；内疚,guilty hesitation,He felt no compunction.,他毫无内疚。,8
concede,v.,承认；让步,to yield,He conceded the point.,他承认了那一点。,8
conciliatory,adj.,安抚的；调和的,intended to reconcile,His tone was conciliatory.,他的语气是安抚的。,8
concomitant,adj.,伴随的,accompanying,Poverty is concomitant with illness.,贫穷常伴随疾病。,8
concord,n.,和谐；一致,agreement,The concord held.,和谐维持着。,8
concur,v.,同意；同时发生,to agree,They concurred on the plan.,他们同意计划。,8
condone,v.,宽恕；纵容,to overlook,We cannot condone cheating.,我们不能纵容作弊。,8
confound,v.,使困惑；混淆,to confuse,The result confounded us.,结果让我们困惑。,8
congeal,v.,凝固；凝结,to solidify,The grease congealed.,油脂凝固了。,8
congenial,adj.,意气相投的；适宜的,pleasant,The congenial host welcomed.,那位意气相投的主人欢迎了客人。,8
conjure,v.,变戏法；想象,to summon by magic,He conjured a smile.,他变出了一个微笑。,8
connive,v.,默许；共谋,to secretly cooperate,They connived at the theft.,他们对盗窃默许。,8
consensus,n.,共识；一致,general agreement,They reached consensus.,他们达成了共识。,8
consequence,n.,后果；重要性,a result,The consequence was severe.,后果很严重。,8
conservatory,n.,温室；音乐学院,a glass house,The conservatory bloomed.,温室里鲜花盛开。,8
consign,v.,交付；托运,to hand over,He consigned the goods.,他交付了货物。,8
console,v.,安慰；控制台,to comfort,She consoled the mourner.,她安慰了哀悼者。,8
consonant,adj.,一致的；协调的,in agreement,His act was consonant.,他的行为一致。,8
consternation,n.,惊愕；恐慌,alarm and confusion,The news caused consternation.,消息引起了惊愕。,8
constraint,n.,约束；限制,a restriction,The budget is a constraint.,预算是个限制。,8
consummate,adj./v.,完美的；完成,supremely skilled,He is a consummate artist.,他是完美的艺术家。,8
contemplate,v.,沉思；注视,to think deeply,She contemplated the sky.,她凝视天空。,8
contend,v.,竞争；主张,to struggle,They contended for the prize.,他们争夺奖项。,8
contentious,adj.,好争论的；有争议的,causing dispute,The issue was contentious.,那个问题有争议。,8
contiguous,adj.,相邻的；接触的,touching,The rooms were contiguous.,房间相邻。,8
contrite,adj.,悔悟的；悔罪的,remorseful,He was contrite.,他悔悟了。,8
contrived,adj.,做作的；人为的,obviously planned,The ending was contrived.,结局是做作的。,8
controvert,v.,反驳；否定,to deny,He controverted the claim.,他反驳了说法。,8
conundrum,n.,难题；谜,a puzzling problem,The riddle was a conundrum.,那个谜题是难题。,8
convergence,n.,汇聚；趋同,coming together,The convergence amazed.,汇聚令人惊讶。,8
convivial,adj.,欢乐的；好宴客的,sociable and festive,The convivial party laughed.,欢乐的聚会笑声不断。,8
corollary,n.,推论；必然结果,a natural consequence,The corollary followed.,推论随之而来。,8
cornucopia,n.,丰饶；丰富,a great abundance,The harvest was a cornucopia.,丰收是丰饶。,8
cosset,v.,宠爱；细心照料,to pamper,She cosseted the cat.,她宠爱猫。,8
counteract,v.,抵消；对抗,to oppose,The drug counteracted poison.,药抵消了毒。,8
counterpart,n.,对应物；副本,a matching person,He met his counterpart.,他会见了对应的人。,8
covet,v.,垂涎；觊觎,to desire enviously,He coveted the throne.,他觊觎王位。,8
covert,adj.,隐蔽的；秘密的,secret,The covert plan leaked.,秘密计划泄漏了。,8
covetous,adj.,贪求的；贪婪的,eagerly desirous,The covetous man eyed gold.,贪婪的人盯着金子。,8
cower,v.,畏缩；蜷缩,to crouch in fear,The dog cowered.,狗畏缩了。,8
coy,adj.,害羞的；含蓄的,shyly reserved,The coy girl smiled.,害羞的女孩笑了。,8
crass,adj.,粗俗的；愚钝的,crude and insensitive,His crass joke offended.,他粗俗的笑话冒犯了人。,8
craven,adj.,懦弱的；胆小的,cowardly,His craven act shamed him.,他懦弱的行为让他羞愧。,8
creak,v./n.,吱嘎作响；吱嘎声,a groan,The door creaked.,门吱嘎作响。,8
crédence,n.,信任；凭证,belief,The story gained credence.,故事获得了信任。,8
creed,n.,信条；教义,a belief system,The creed guided him.,信条指引了他。,8
crestfallen,adj.,垂头丧气的,disappointed,The crestfallen loser left.,垂头丧气的失败者离开了。,8
crib,n./v.,婴儿床；抄袭,a small bed,He cribbed the answer.,他抄袭了答案。,8
crimp,v.,使卷曲；阻碍,to curl or hinder,The rule crimped growth.,规则阻碍了增长。,8
criterion,n.,标准；准则,a standard,What is the criterion.,标准是什么。,8
critique,n./v.,评论；批评,a critical analysis,She wrote a critique.,她写了一篇评论。,8
crochet,n./v.,钩针编织,a hooked needle work,She crocheted a scarf.,她钩了条围巾。,8
crook,v./n.,弯曲；骗子,to bend,The crook stole the purse.,骗子偷了钱包。,8
cryptic,adj.,神秘的；隐晦的,mysterious,The cryptic note puzzled.,神秘的字条令人困惑。,8
cuddle,v.,拥抱；依偎,to hug,The child cuddled close.,孩子依偎过来。,8
cue,n./v.,暗示；提示,a signal,He took the cue.,他领会了暗示。,8
culpable,adj.,应受谴责的；有罪的,deserving blame,He was culpable.,他应受谴责。,8
cupidity,n.,贪婪；贪财,strong greed,His cupidity drove him.,他的贪婪驱使了他。,8
curmudgeon,n.,脾气坏的老头,a bad-tempered person,The old curmudgeon grumbled.,那个脾气坏的老头抱怨着。,8
cursory,adj.,粗略的；草率的,hasty,He gave a cursory look.,他粗略地看了一眼。,8
curtail,v.,削减；缩短,to cut short,They curtailed spending.,他们削减了开支。,8
cynosure,n.,焦点；引人注目的人,a center of attention,She was the cynosure.,她是焦点。,8
dabbler,n.,浅尝者；业余爱好者,a casual participant,He is a dabbler in art.,他是艺术的业余爱好者。,8
daft,adj.,愚蠢的；疯的,foolish,The daft idea failed.,那个愚蠢的想法失败了。,8
dainty,adj.,精致的；娇小的,delicately small,The dainty cake tempted.,精致的小蛋糕诱人。,8
dapper,adj.,衣冠楚楚的；利落的,neat in dress,The dapper man bowed.,那个衣冠楚楚的男人鞠了躬。,8
daunt,v.,使气馁；威吓,to intimidate,The task did not daunt her.,任务没有吓倒她。,8
dawdle,v.,闲荡；拖延,to waste time,Do not dawdle.,不要拖延。,8
deadlock,n./v.,僵局；相持,a standstill,The talks hit deadlock.,谈判陷入僵局。,8
dearth,n.,缺乏；不足,a scarcity,There was a dearth of food.,食物匮乏。,8
debacle,n.,大溃败；惨败,a sudden collapse,The launch was a debacle.,发布是一场惨败。,8
decadence,n.,颓废；堕落,decline in morals,The decadence appalled.,颓废令人惊骇。,8
decant,v.,轻轻倒出,to pour off gently,She decanted the wine.,她轻轻倒出酒。,8
decisive,adj.,决定性的；果断的,settling decisively,His move was decisive.,他的行动是决定性的。,8
decode,v.,解码；破译,to decipher,They decoded the message.,他们破译了信息。,8
decree,n./v.,法令；颁布,an official order,The king decreed peace.,国王颁布了和平。,8
decry,v.,谴责；贬低,to publicly condemn,They decried the waste.,他们谴责浪费。,8
defame,v.,诽谤；中伤,to harm reputation,He was defamed.,他遭到诽谤。,8
defer,v.,推迟；服从,to postpone,They deferred the trip.,他们推迟了旅行。,8
defile,v./n.,弄脏；峡谷,to corrupt,The river was defiled.,河流被弄脏了。,8
definitive,adj.,确定的；权威的,conclusive,The study is definitive.,研究是确定的。,8
deflect,v.,使偏斜；转移,to turn aside,He deflected the blow.,他避开了打击。,8
deft,adj.,灵巧的；熟练的,skilful,Her deft hands moved.,她灵巧的手移动着。,8
defunct,adj.,已灭绝的；不再存在的,no longer existing,The defunct firm closed.,那家倒闭的公司关门了。,8
deleterious,adj.,有害的；有毒的,harming,The deleterious effect showed.,有害效应显现了。,8
deluge,n./v.,洪水；使涌来,a flood,The deluge flooded streets.,洪水淹没了街道。,8
demagogue,n.,煽动者；蛊惑家,a rabble-rouser,The demagogue lied.,那个煽动者撒谎了。,8
demean,v.,贬低；有辱,to lower in dignity,Do not demean yourself.,不要贬低自己。,8
demure,adj.,端庄的；羞涩的,modest,The demure girl nodded.,端庄的女孩点了点头。,8
denigrate,v.,诋毁；贬低,to belittle,He denigrated her work.,他贬低她的作品。,8
denouement,n.,结局；收场,the final outcome,The denouement surprised.,结局令人惊讶。,8
depict,v.,描绘；描写,to represent,The painting depicts war.,画作描绘战争。,8
deplete,v.,耗尽；使枯竭,to use up,The well depleted.,井枯了。,8
deploy,v.,部署；调度,to position,They deployed troops.,他们部署了部队。,8
depose,v.,废黜；作证,to remove from power,They deposed the king.,他们废黜了国王。,8
deprecate,v.,不赞成；贬低,to express disapproval,He deprecated the plan.,他不赞成计划。,8
deride,v.,嘲笑；嘲弄,to mock,They derided him.,他们嘲笑他。,8
derivative,adj./n.,衍生的；派生词,derived from another,The work was derivative.,作品是衍生的。,8
desecrate,v.,亵渎；玷污,to violate sacredness,They desecrated the shrine.,他们亵渎了神殿。,8
desiccate,v.,使干燥；脱水,to dry thoroughly,The sun desiccated the mud.,太阳晒干了泥。,8
desist,v.,停止；断念,to cease,He desisted from protest.,他停止了抗议。,8
desolate,adj./v.,荒凉的；使荒凉,deserted,The desolate island lay bare.,荒凉的岛屿裸露着。,8
despot,n.,暴君；专制者,a tyrant,The despot ruled cruelly.,暴君残酷统治。,8
destitute,adj.,赤贫的；缺乏的,utterly poor,The destitute begged.,赤贫者乞讨。,8
détente,n.,缓和；和解,a relaxation of tension,The détente eased fears.,缓和减轻了恐惧。,8
detergent,n.,洗涤剂,a cleaning agent,The detergent cleaned.,洗涤剂清洁了。,8
detour,n./v.,绕路；使绕道,a roundabout way,We took a detour.,我们绕了路。,8
detract,v.,减损；贬低,to diminish,The flaw detracted value.,瑕疵减损了价值。,8
deviate,v.,偏离；背离,to stray,He deviated from the path.,他偏离了道路。,8
devour,v.,吞食；贪婪阅读,to eat greedily,He devoured the book.,他贪婪地读完了书。,8
dexterous,adj.,灵巧的；机敏的,skilful with hands,The dexterous child built.,机敏的孩子搭好了。,8
diaphanous,adj.,透明的；精致的,translucent,The diaphanous veil shimmered.,透明的面纱闪闪发光。,8
dictum,n.,格言；宣言,a formal statement,His dictum guided all.,他的宣言指引了所有人。,8
didactic,adj.,说教的；教导的,instructional,The book is didactic.,书是说教的。,8
diffidence,n.,羞怯；缺乏自信,shyness,His diffidence held him.,他的羞怯限制了他。,8
digress,v.,离题；岔开,to wander off topic,Do not digress.,不要离题。,8
dilapidated,adj.,破旧的；坍颓的,fallen into ruin,The dilapidated house fell.,破旧的房子塌了。,8
dilate,v.,扩张；详述,to expand,The pupil dilated.,瞳孔扩张了。,8
dilatory,adj.,拖延的；迟缓的,slow to act,His dilatory habit annoyed.,他拖延的习惯惹恼了人。,8
dilettante,n.,浅薄者；业余爱好者,a dabbler,He is a dilettante.,他是业余爱好者。,8
diminutive,adj.,小的；矮小的,tiny,The diminutive dog barked.,小个子狗叫了。,8
dingy,adj.,肮脏的；暗淡的,grimy and dull,The dingy room smelled.,肮脏的房间有味道。,8
disabuse,v.,纠正；使省悟,to free from error,He disabused her.,他纠正了她。,8
disaffected,adj.,不满的；疏远的,discontented,The disaffected workers struck.,不满的工人罢工了。,8
disarray,n.,混乱；紊乱,disorder,The team fell in disarray.,团队陷入混乱。,8
disavow,v.,否认；不承认,to disclaim,He disavowed the rumor.,他否认了谣言。,8
discern,v.,辨别；看出,to perceive,She discerned the truth.,她看清了真相。,8
discomfit,v.,使困惑；使尴尬,to confuse,The question discomfited him.,问题让他困惑。,8
disconcert,v.,使不安；使慌乱,to disturb,The noise disconcerted her.,噪音让她不安。,8
discord,n.,不和；不一致,conflict,The discord grew.,不和加剧了。,8
discredit,v.,败坏；不信,to disgrace,The lie discredited him.,谎言败坏了他。,8
discreet,adj.,谨慎的；不显眼的,prudent,He was discreet.,他很谨慎。,8
discrete,adj.,离散的；分立的,separate,The parts were discrete.,部件是分立的。,8
disdain,n./v.,鄙视；不屑,contempt,She felt disdain.,她感到鄙视。,8
disgorge,v.,吐出；被迫交出,to pour forth,The volcano disgorged lava.,火山吐出熔岩。,8
disgruntled,adj.,不满的；不高兴的,discontented,The disgruntled fan left.,不满的粉丝离开了。,8
