term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
announce,v.,宣布,to make known,They announced the result.,他们宣布了结果。,5
annoy,v.,使恼怒,to irritate,The noise annoyed him.,噪音惹恼了他。,5
annual,adj.,每年的,yearly,We hold an annual event.,我们举办年度活动。,5
anxious,adj.,焦虑的,worried,She feels anxious before tests.,考试前她感到焦虑。,5
apart,adv.,分开,separately,They live apart now.,他们现在分开住。,5
apologise,v.,道歉,to say sorry,He apologised for the error.,他为错误道了歉。,5
apparent,adj.,明显的,clear,The reason is apparent.,原因很明显。,5
appeal,v.,呼吁；吸引,to request or attract,The idea appeals to me.,这个想法吸引我。,5
appear,v.,出现,to show up,He appeared at the door.,他出现在门口。,5
apply,v.,申请；应用,to request or use,You can apply online.,你可以在线申请。,5
appoint,v.,任命,to assign a role,They appointed a new head.,他们任命了新主管。,5
approach,n.,方法；接近,way or to come near,We need a calm approach.,我们需要冷静的方法。,5
appropriate,adj.,合适的,proper,This is appropriate dress.,这身打扮合适。,5
approve,v.,批准,to agree to,They approved the plan.,他们批准了计划。,5
argue,v.,争论,to disagree,They argue about politics.,他们争论政治。,5
arise,v.,出现；升起,to come up,Problems may arise.,问题可能出现。,5
army,n.,军队,fighting force,The army defended the city.,军队保卫了城市。,5
arrange,v.,安排,to organize,We arrange the meeting.,我们安排会议。,5
arrest,v.,逮捕,to seize,The police arrested the thief.,警察逮捕了小偷。,5
arrive,v.,到达,to get there,We arrive at noon.,我们中午到达。,5
article,n.,文章；物品,text or item,She wrote an article.,她写了一篇文章。,5
artist,n.,艺术家,creative person,He is a gifted artist.,他是有天赋的艺术家。,5
aspect,n.,方面,part or feature,This aspect is key.,这方面很关键。,5
assess,v.,评估,to judge,We assess the risk.,我们评估风险。,5
assign,v.,分配,to give out,We assign the tasks.,我们分配任务。,5
assist,v.,协助,to help,She assisted the teacher.,她协助了老师。,5
assume,v.,假设,to suppose,We assume he is right.,我们假定他是对的。,5
attack,v.,攻击,to strike,The dog attacked the intruder.,狗攻击了闯入者。,5
attempt,v.,尝试,to try,We attempt the challenge.,我们尝试挑战。,5
attend,v.,参加,to go to,She attends the lecture.,她参加讲座。,5
attitude,n.,态度,way of thinking,His attitude is positive.,他的态度积极。,5
attract,v.,吸引,to draw in,The ad attracts customers.,广告吸引顾客。,5
audience,n.,观众,viewers,The audience applauded.,观众鼓掌。,5
author,n.,作者,writer,The author wrote a novel.,作者写了小说。,5
authority,n.,权威；当局,power or officials,The authority approved it.,当局批准了。,5
automatic,adj.,自动的,self-acting,The door is automatic.,门是自动的。,5
available,adj.,可用的,ready to use,The room is available.,房间可用。,5
average,adj.,平均的,typical,The average score rose.,平均分上升了。,5
avoid,v.,避免,to stay away,We avoid the rush hour.,我们避开高峰。,5
awake,adj.,醒着的,not asleep,He is still awake.,他还醒着。,5
aware,adj.,意识到的,knowing,She is aware of the risk.,她意识到风险。,5
awesome,adj.,令人惊叹的,amazing,The view is awesome.,景色令人惊叹。,5
awful,adj.,糟糕的,very bad,The food was awful.,食物很糟糕。,5
background,n.,背景,setting,He has a strong background.,他背景很强。,5
balance,n.,平衡,steady state,We keep a healthy balance.,我们保持健康平衡。,5
basic,adj.,基本的,fundamental,These are basic rules.,这些是基本规则。,5
basis,n.,基础,foundation,Trust is the basis.,信任是基础。,5
battle,n.,战斗,fight,The battle was long.,战斗很漫长。,5
beauty,n.,美丽,loveliness,She admired the beauty.,她欣赏那份美丽。,5
behave,v.,表现,to act,He behaves well at school.,他在学校表现好。,5
belief,n.,信念,conviction,Her belief is strong.,她的信念坚定。,5
belong,v.,属于,to be part of,This book belongs to me.,这本书属于我。,5
beside,prep.,在…旁边,next to,She sat beside him.,她坐在他身边。,5
block,n.,块；阻塞,solid piece or stop,The road is blocked.,道路被堵了。,5
board,n.,木板；董事会,plank or group,The board met today.,董事会今天开会。,5
boil,v.,煮沸,to heat to bubble,We boil the water first.,我们先烧开水。,5
border,n.,边界,edge,The border is closed.,边界关闭了。,5
boring,adj.,无聊的,dull,The movie was boring.,电影很无聊。,5
borrow,v.,借入,to take from,Can I borrow your pen.,我能借你的笔吗。,5
boss,n.,老板,manager,The boss approved it.,老板批准了。,5
bottom,n.,底部,lowest part,The book is at the bottom.,书在底部。,5
brain,n.,大脑,mind organ,The brain controls the body.,大脑控制身体。,5
branch,n.,分支,part of a tree or org,The bank has a local branch.,这家银行有本地分行。,5
brave,adj.,勇敢的,courageous,The brave soldier fought on.,勇敢的士兵继续战斗。,5
bread,n.,面包,food,We ate fresh bread.,我们吃了新鲜面包。,5
break,v.,打破,to shatter,Be careful not to break it.,小心别打碎它。,5
breath,n.,呼吸,air in lungs,Take a deep breath.,深吸一口气。,5
breathe,v.,呼吸,to take air,We breathe clean air.,我们呼吸清新空气。,5
brief,adj.,简短的,short,He gave a brief reply.,他作了简短回复。,5
bright,adj.,明亮的,shining,The room is bright.,房间明亮。,5
broad,adj.,宽阔的,wide,The road is broad.,道路宽阔。,5
brother,n.,兄弟,male sibling,My brother is older.,我哥哥年长些。,5
brown,adj.,棕色的,color,She wore a brown coat.,她穿了棕色外套。,5
build,v.,建造,to construct,We build a new house.,我们建了新房子。,5
burden,n.,负担,heavy load,The debt is a burden.,债务是负担。,5
burn,v.,燃烧,to be on fire,The fire burned all night.,火整夜燃烧。,5
business,n.,商业,trade,He runs a small business.,他经营小生意。,5
busy,adj.,忙碌的,occupied,She is busy today.,她今天很忙。,5
butter,n.,黄油,food,We spread butter on bread.,我们把黄油涂在面包上。,5
buy,v.,购买,to purchase,We buy fresh fruit.,我们买新鲜水果。,5
cabinet,n.,橱柜,cupboard,The cabinet holds the dishes.,橱柜放着餐具。,5
calculate,v.,计算,to compute,We calculate the cost.,我们计算成本。,5
calendar,n.,日历,date book,Check the calendar.,查一下日历。,5
camp,n.,营地,outdoor site,We stayed at the camp.,我们留在营地。,5
campaign,n.,运动,planned effort,The campaign was a success.,活动很成功。,5
cancel,v.,取消,to call off,We cancel the trip.,我们取消行程。,5
cancer,n.,癌症,disease,He fought cancer bravely.,他勇敢对抗癌症。,5
candidate,n.,候选人,applicant,She is the best candidate.,她是最佳候选人。,5
capable,adj.,有能力的,able,He is capable of the job.,他能胜任这份工作。,5
capital,n.,首都；资本,city or money,Paris is the capital.,巴黎是首都。,5
captain,n.,船长；队长,leader,The captain led the team.,船长带领球队。,5
capture,v.,捕获,to catch,They captured the moment.,他们捕捉了瞬间。,5
carbon,n.,碳,element,Carbon is in all life.,碳存在于所有生命中。,5
career,n.,职业,profession,She built a strong career.,她建立了稳固的职业。,5
careful,adj.,小心的,cautious,Be careful with the glass.,小心玻璃。,5
carry,v.,携带,to transport,She carries a heavy bag.,她背着沉重的包。,5
carve,v.,雕刻,to cut shape,He carved a wooden bird.,他雕刻了木鸟。,5
case,n.,情况；案例,situation or example,In this case we wait.,这种情况我们等待。,5
cash,n.,现金,money,We pay in cash.,我们用现金支付。,5
cast,v.,投掷；演员,to throw or actors,The film cast is great.,电影演员阵容强大。,5
catch,v.,抓住,to grab,Try to catch the ball.,试着接住球。,5
category,n.,类别,group,This falls in a new category.,这归入新类别。,5
cause,v.,原因；导致,to make happen,The storm caused damage.,风暴造成了损害。,5
cease,v.,停止,to stop,The noise ceased at last.,噪音终于停止了。,5
celebrate,v.,庆祝,to honor,We celebrate the win.,我们庆祝胜利。,5
centre,n.,中心,middle,The centre is busy.,中心很繁忙。,5
ceremony,n.,仪式,formal event,The ceremony was brief.,仪式很简短。,5
certain,adj.,确定的,sure,We are certain of it.,我们对此确定。,5
chain,n.,链,linked series,The chain broke.,链子断了。,5
challenge,n.,挑战,difficult task,The challenge is tough.,挑战很艰巨。,5
chance,n.,机会,opportunity,Take this chance now.,抓住这次机会。,5
change,v.,改变,to alter,We change the plan.,我们改变计划。,5
channel,n.,频道；渠道,TV or path,Use this channel to apply.,用这个渠道申请。,5
chapter,n.,章节,section,Read the next chapter.,读下一章。,5
character,n.,性格；角色,trait or role,He is a kind character.,他是个善良的角色。,5
charge,n.,收费；负责,fee or care,The charge is fair.,收费合理。,5
chart,n.,图表,graph,The chart shows growth.,图表显示增长。,5
chase,v.,追逐,to follow,The dog chases the cat.,狗追猫。,5
cheap,adj.,便宜的,low cost,The ticket is cheap.,票很便宜。,5
cheat,v.,欺骗,to trick,He cheated on the test.,他考试作弊。,5
check,v.,检查,to inspect,We check the data.,我们检查数据。,5
cheer,v.,欢呼,to applaud,The crowd cheered loudly.,人群大声欢呼。,5
chief,adj.,主要的；首领,main or leader,The chief concern is cost.,主要担忧是成本。,5
child,n.,孩子,young person,The child laughed.,孩子笑了。,5
choice,n.,选择,option,We have no other choice.,我们别无选择。,5
choose,v.,选择,to pick,We choose the blue one.,我们选蓝色的。,5
circle,n.,圆,round shape,Draw a circle here.,在这里画个圆。,5
citizen,n.,公民,member of a country,He is a proud citizen.,他是个自豪的公民。,5
city,n.,城市,town,The city is crowded.,城市拥挤。,5
civil,adj.,公民的,of citizens,He has civil duties.,他有公民义务。,5
claim,v.,声称；索赔,to state or demand,He claimed the reward.,他领取了奖励。,5
classic,adj.,经典的,timeless,This is a classic novel.,这是部经典小说。,5
climate,n.,气候,weather pattern,The climate is changing.,气候在变化。,5
climb,v.,爬,to go up,We climb the hill.,我们爬山。,5
clock,n.,时钟,time device,The clock is slow.,钟慢了。,5
close,v.,关闭；接近的,to shut or near,Please close the door.,请关上门。,5
clothes,n.,衣服,garments,She folded the clothes.,她叠了衣服。,5
cloud,n.,云,sky vapor,The cloud is white.,云是白色的。,5
coach,n.,教练,trainer,The coach trained us.,教练训练了我们。,5
coal,n.,煤,fuel,The coal is black.,煤是黑色的。,5
coast,n.,海岸,seaside,We walked along the coast.,我们沿着海岸走。,5
coffee,n.,咖啡,drink,We drank hot coffee.,我们喝了热咖啡。,5
coin,n.,硬币,money piece,He flipped a coin.,他抛了硬币。,5
cold,adj.,冷的,low temperature,The water is cold.,水很冷。,5
collect,v.,收集,to gather,We collect stamps.,我们集邮。,5
college,n.,学院,school,She went to college.,她上了大学。,5
combat,n.,战斗,fight,The combat was fierce.,战斗激烈。,5
combine,v.,结合,to join,We combine the two parts.,我们结合两部分。,5
comfort,n.,舒适,ease,The chair offers comfort.,椅子很舒适。,5
command,v.,命令,to order,He commanded the troops.,他指挥部队。,5
comment,n.,评论,remark,He made a fair comment.,他作了公正评论。,5
commercial,adj.,商业的,business related,It is a commercial site.,这是商业站点。,5
commit,v.,承诺；犯（错）,to pledge or do wrong,We commit to the goal.,我们承诺达成目标。,5
common,adj.,常见的,usual,This is a common error.,这是常见错误。,5
communicate,v.,沟通,to share info,We communicate by email.,我们用邮件沟通。,5
community,n.,社区,local group,The community is close.,社区很紧密。,5
company,n.,公司,firm,The company grew fast.,公司增长很快。,5
compare,v.,比较,to weigh,We compare the options.,我们比较选项。,5
compete,v.,竞争,to contest,They compete for the prize.,他们竞争奖项。,5
complain,v.,抱怨,to grumble,He complained about the noise.,他抱怨噪音。,5
complete,v.,完成,to finish,We complete the task.,我们完成任务。,5
complex,adj.,复杂的,complicated,The issue is complex.,问题很复杂。,5
component,n.,组成部分,part,This is a key component.,这是关键组件。,5
concept,n.,概念,idea,The concept is simple.,概念很简单。,5
concern,v.,关心；担忧,to care or worry,We concern ourselves with safety.,我们关心安全。,5
concert,n.,音乐会,music event,The concert was loud.,音乐会很吵。,5
conduct,v.,实施；行为,to carry out,We conduct the test.,我们实施测试。,5
connect,v.,连接,to link,We connect the wires.,我们连接电线。,5
consent,v.,同意,to agree,She consented to the plan.,她同意了计划。,5
consider,v.,考虑,to think about,We consider all options.,我们考虑所有选项。,5
consist,v.,由…组成,to be made of,The team consists of five.,团队由五人组成。,5
constant,adj.,持续的,steady,The noise is constant.,噪音持续不断。,5
construct,v.,建造,to build,We construct a new bridge.,我们建新桥。,5
consult,v.,咨询,to ask,We consult an expert.,我们咨询专家。,5
consume,v.,消耗,to use up,We consume less power.,我们耗电更少。,5
contact,v.,联系,to reach,Please contact us soon.,请尽快联系我们。,5
contain,v.,包含,to hold,The box contains books.,盒子里有书。,5
content,adj.,内容；满意的,info or satisfied,She is content with the result.,她对结果满意。,5
contest,n.,竞赛,competition,He won the contest.,他赢了竞赛。,5
context,n.,语境,setting,The context matters.,语境很重要。,5
continue,v.,继续,to keep going,We continue the work.,我们继续工作。,5
contract,n.,合同,agreement,We signed the contract.,我们签了合同。,5
contrast,n.,对比,difference,The contrast is clear.,对比很明显。,5
contribute,v.,贡献,to give,We contribute our time.,我们贡献时间。,5
control,v.,控制,to manage,We control the process.,我们控制流程。,5
convenient,adj.,方便的,handy,This tool is convenient.,这工具很方便。,5
convince,v.,说服,to persuade,He convinced the team.,他说服了团队。,5
cook,v.,烹饪,to make food,She cooks dinner daily.,她每天做晚饭。,5
cool,adj.,凉爽的,lightly cold,The evening is cool.,夜晚凉爽。,5
cope,v.,应付,to manage,We cope with stress.,我们应对压力。,5
copy,v.,复制,to duplicate,Please copy the file.,请复制文件。,5
corner,n.,角落,bend,Meet me at the corner.,在角落见我。,5
correct,adj.,正确的,right,Your answer is correct.,你的答案正确。,5
cost,n.,成本,price,The cost is high.,成本很高。,5
council,n.,委员会,group,The council met today.,委员会今天开会。,5
count,v.,计数,to tally,We count the votes.,我们统计选票。,5
country,n.,国家,nation,He loves his country.,他热爱祖国。,5
courage,n.,勇气,bravery,She showed great courage.,她展现出巨大勇气。,5
course,n.,课程；过程,class or path,The course is useful.,课程很有用。,5
court,n.,法院；球场,law or field,The case went to court.,案件上了法庭。,5
cover,v.,覆盖,to shield,Snow covers the ground.,雪覆盖地面。,5
craft,n.,工艺,skill,The craft is old.,这工艺很古老。,5
crash,v.,坠毁,to break down,The car crashed into a tree.,汽车撞上树。,5
create,v.,创造,to make,We create new ideas.,我们创造新想法。,5
credit,n.,信用,trust,He has good credit.,他信用良好。,5
crime,n.,犯罪,wrong act,The crime was solved.,案件告破。,5
crisis,n.,危机,emergency,We face a crisis.,我们面临危机。,5
critic,n.,批评家,reviewer,The critic liked the film.,批评家喜欢这部电影。,5
crop,n.,作物,plants,The crop failed this year.,今年作物歉收。,5
cross,v.,穿过,to go across,We cross the street.,我们过马路。,5
crowd,n.,人群,group,The crowd cheered.,人群欢呼。,5
crucial,adj.,关键的,vital,This step is crucial.,这步很关键。,5
crush,v.,压碎,to squeeze,Do not crush the can.,别压扁罐子。,5
culture,n.,文化,way of life,The culture is rich.,文化很丰富。,5
cure,v.,治愈,to heal,The drug cures the illness.,药物治愈疾病。,5
curious,adj.,好奇的,inquisitive,She is curious about space.,她对太空好奇。,5
current,adj.,当前的,present,The current rate is low.,当前利率很低。,5
custom,n.,习俗,tradition,This is an old custom.,这是古老习俗。,5
cut,v.,切,to slice,Please cut the cake.,请切蛋糕。,5
cycle,n.,循环,repeating pattern,The cycle repeats.,循环重复。,5
daily,adj.,日常的,every day,This is a daily task.,这是日常任务。,5
damage,v.,损害,to harm,The storm damaged the roof.,风暴损坏了屋顶。,5
danger,n.,危险,risk,The danger is real.,危险是真实的。,5
dark,adj.,黑暗的,no light,The room is dark.,房间黑暗。,5
data,n.,数据,information,The data is clear.,数据清晰。,5
deal,v.,处理；交易,to handle or trade,We deal with the issue.,我们处理问题。,5
debate,n.,辩论,discussion,The debate was lively.,辩论很热烈。,5
debt,n.,债务,money owed,He paid off the debt.,他还清了债务。,5
decade,n.,十年,ten years,The change took a decade.,变化用了十年。,5
decide,v.,决定,to choose,We decide the date.,我们决定日期。,5
decline,v.,下降；拒绝,to fall or refuse,Sales decline in winter.,冬季销量下降。,5
decorate,v.,装饰,to adorn,We decorate the room.,我们装饰房间。,5
decrease,v.,减少,to lessen,We decrease the load.,我们减少负载。,5
defeat,v.,击败,to beat,We defeat the rival.,我们击败对手。,5
defend,v.,保卫,to protect,We defend our rights.,我们保卫权利。,5
define,v.,定义,to state meaning,We define the term.,我们定义术语。,5
degree,n.,程度；学位,level or title,He earned a degree.,他获得了学位。,5
delay,v.,延迟,to postpone,We delay the launch.,我们延迟发布。,5
deliver,v.,递送,to bring,We deliver the package.,我们递送包裹。,5
demand,v.,需求；要求,to need or ask,They demand fair pay.,他们要求公平薪酬。,5
democracy,n.,民主,rule by people,The democracy is young.,民主很年轻。,5
demonstrate,v.,证明；演示,to show,We demonstrate the method.,我们演示方法。,5
deny,v.,否认,to refuse to admit,He denied the claim.,他否认了说法。,5
depend,v.,依赖,to rely,We depend on you.,我们依赖你。,5
deploy,v.,部署,to set up,We deploy the system.,我们部署系统。,5
depress,v.,使沮丧,to sadden,The news depressed him.,消息使他沮丧。,5
depth,n.,深度,how deep,The depth is ten meters.,深度为十米。,5
describe,v.,描述,to tell about,We describe the scene.,我们描述场景。,5
design,v.,设计,to plan,We design the product.,我们设计产品。,5
desire,v.,渴望,to want,She desires success.,她渴望成功。,5
detail,n.,细节,small part,The detail is key.,细节很关键。,5
detect,v.,探测,to find,We detect a signal.,我们探测到信号。,5
develop,v.,发展,to grow,We develop the skill.,我们发展技能。,5
device,n.,装置,tool,The device is small.,装置很小。,5
devote,v.,奉献,to dedicate,We devote time to study.,我们奉献时间学习。,5
differ,v.,不同,to vary,The views differ.,看法不同。,5
difficult,adj.,困难的,hard,The task is difficult.,任务困难。,5
dig,v.,挖,to burrow,We dig a hole.,我们挖洞。,5
direct,adj.,直接的；指导,straight or guide,He gave direct feedback.,他给了直接反馈。,5
disappear,v.,消失,to vanish,The sun disappeared.,太阳消失了。,5
discover,v.,发现,to find,We discover a new star.,我们发现一颗新星。,5
discuss,v.,讨论,to talk over,We discuss the plan.,我们讨论计划。,5
disease,n.,疾病,illness,The disease spread fast.,疾病传播很快。,5
dismiss,v.,解雇；不予考虑,to fire or reject,They dismissed the idea.,他们否决了这个想法。,5
display,v.,展示,to show,We display the art.,我们展示艺术品。,5
dispute,n.,争端,conflict,The dispute ended.,争端结束了。,5
distance,n.,距离,space between,The distance is short.,距离很短。,5
district,n.,地区,area,This district is safe.,这地区安全。,5
disturb,v.,打扰,to bother,Do not disturb him.,别打扰他。,5
diverse,adj.,多样的,varied,The group is diverse.,群体很多样。,5
divide,v.,划分,to split,We divide the work.,我们划分工作。,5
division,n.,分割,split,The division is fair.,划分很公平。,5
document,n.,文件,paper,Sign the document.,签署文件。,5
donate,v.,捐赠,to give,We donate to charity.,我们向慈善捐款。,5
double,adj.,双倍的,two times,The price is double.,价格翻倍。,5
doubt,v.,怀疑,to question,We doubt the claim.,我们怀疑这个说法。,5
drag,v.,拖,to pull,He dragged the chair.,他拖了椅子。,5
drama,n.,戏剧,play,The drama was moving.,戏剧很感人。,5
dream,n.,梦想,wish,He followed his dream.,他追随梦想。,5
dress,n.,服装,clothes,She wore a red dress.,她穿了红裙。,5
drink,v.,喝,to swallow,We drink clean water.,我们喝清水。,5
drive,v.,驾驶,to operate a car,He drives to work.,他开车上班。,5
drop,v.,掉落,to fall,The glass dropped.,玻璃杯掉了。,5
drug,n.,药物；毒品,medicine or narcotic,The drug eased the pain.,药物缓解了疼痛。,5
dry,adj.,干燥的,not wet,The air is dry.,空气干燥。,5
due,adj.,到期的；应有的,owed or proper,The payment is due.,付款到期了。,5
dump,v.,倾倒,to discard,Do not dump the waste.,别倾倒废弃物。,5
duty,n.,职责,responsibility,It is our duty.,这是我们的职责。,5
eager,adj.,渴望的,keen,She is eager to learn.,她渴望学习。,5
earn,v.,赚取,to gain money,We earn a fair wage.,我们赚合理工资。,5
earth,n.,地球,planet,The earth is blue.,地球是蓝色的。,5
ease,n.,轻松；缓和,comfort or relief,The ease surprised us.,轻松程度令我们意外。,5
east,n.,东方,direction,The sun rises in the east.,太阳从东方升起。,5
easy,adj.,容易的,simple,The test was easy.,考试很容易。,5
eat,v.,吃,to consume food,We eat at noon.,我们中午吃饭。,5
ecology,n.,生态,environment,The ecology is fragile.,生态很脆弱。,5
economy,n.,经济,system,The economy is growing.,经济在增长。,5
edge,n.,边缘,border,The edge is sharp.,边缘锋利。,5
edit,v.,编辑,to revise,We edit the text.,我们编辑文本。,5
educate,v.,教育,to teach,We educate the young.,我们教育年轻人。,5
effect,n.,影响,result,The effect is clear.,影响很明显。,5
effort,n.,努力,work,The effort paid off.,努力有了回报。,5
elder,adj.,年长的,older,My elder sister helps me.,我姐姐帮助我。,5
elect,v.,选举,to choose by vote,We elect a new head.,我们选举新主管。,5
element,n.,元素,part,This is a key element.,这是关键元素。,5
email,n.,电子邮件,message,Send me an email.,给我发邮件。,5
embrace,v.,拥抱；接受,to hug or accept,We embrace the change.,我们接受变化。,5
emerge,v.,出现,to appear,The sun emerged.,太阳出现了。,5
emotion,n.,情感,feeling,The emotion was strong.,情感很强烈。,5
emphasis,n.,强调,stress,The emphasis is clear.,重点很清楚。,5
employ,v.,雇佣,to hire,We employ ten staff.,我们雇了十名员工。,5
enable,v.,使能够,to make able,This tool enables speed.,这工具提升速度。,5
encourage,v.,鼓励,to support,We encourage effort.,我们鼓励努力。,5
end,v.,结束,to finish,We end the meeting.,我们结束会议。,5
energy,n.,能量,power,The energy is clean.,能源很清洁。,5
engage,v.,从事；吸引,to take part,We engage the user.,我们吸引用户。,5
engine,n.,引擎,motor,The engine is loud.,引擎很吵。,5
enjoy,v.,享受,to like,We enjoy the music.,我们享受音乐。,5
enough,adj.,足够的,sufficient,We have enough time.,我们有足够时间。,5
ensure,v.,确保,to make sure,We ensure quality.,我们确保质量。,5
enter,v.,进入,to go in,We enter the room.,我们进入房间。,5
entire,adj.,整个的,whole,The entire team came.,整个团队都来了。,5
entitle,v.,使有权利,to grant right,This entitles you to vote.,这让你有权投票。,5
entrance,n.,入口,doorway,The entrance is here.,入口在这里。,5
equal,adj.,平等的,same,All are equal.,人人平等。,5
equip,v.,装备,to supply,We equip the lab.,我们装备实验室。,5
error,n.,错误,mistake,The error was fixed.,错误已修复。,5
escape,v.,逃脱,to get free,The bird escaped.,鸟逃脱了。,5
essay,n.,短文,short paper,She wrote an essay.,她写了短文。,5
establish,v.,建立,to set up,We establish a fund.,我们建立基金。,5
estimate,v.,估计,to guess,We estimate the cost.,我们估计成本。,5
ethnic,adj.,民族的,of groups,The ethnic food is rich.,民族美食很丰富。,5
evident,adj.,明显的,clear,The trend is evident.,趋势很明显。,5
exact,adj.,精确的,precise,The exact time is known.,确切时间已知。,5
examine,v.,检查,to inspect,We examine the case.,我们检查案例。,5
example,n.,例子,sample,This is a clear example.,这是个清晰例子。,5
exceed,v.,超过,to go beyond,Costs exceed the budget.,成本超过预算。,5
exchange,v.,交换,to trade,We exchange ideas.,我们交换想法。,5
exclude,v.,排除,to leave out,We exclude the risk.,我们排除风险。,5
excuse,n.,借口,reason,He gave a weak excuse.,他给了软弱借口。,5
execute,v.,执行,to carry out,We execute the plan.,我们执行计划。,5
exercise,n.,锻炼,activity,We do daily exercise.,我们每天锻炼。,5
exhibit,v.,展览,to show,We exhibit the work.,我们展览作品。,5
exist,v.,存在,to be,The problem still exists.,问题仍存在。,5
expand,v.,扩张,to grow,We expand the team.,我们扩张团队。,5
expect,v.,期望,to anticipate,We expect good news.,我们期待好消息。,5
expend,v.,花费,to spend,We expend much effort.,我们付出很多努力。,5
expense,n.,开支,cost,The expense is high.,开支很高。,5
experience,n.,经验,skill from doing,He has rich experience.,他经验丰富。,5
experiment,n.,实验,test,The experiment worked.,实验成功了。,5
expert,n.,专家,skilled person,He is an expert in law.,他是法律专家。,5
explain,v.,解释,to make clear,Please explain the rule.,请解释规则。,5
explore,v.,探索,to investigate,We explore the forest.,我们探索森林。,5
export,v.,出口,to send abroad,We export goods.,我们出口商品。,5
expose,v.,暴露,to reveal,The report exposes the truth.,报告揭露真相。,5
express,v.,表达,to state,She expressed her view.,她表达了看法。,5
extend,v.,延伸,to stretch,We extend the deadline.,我们延长截止日。,5
external,adj.,外部的,outer,The external wall is old.,外墙很旧。,5
extra,adj.,额外的,additional,We need extra time.,我们需要额外时间。,5
extreme,adj.,极端的,severe,The heat is extreme.,酷热极端。,5
eye,n.,眼睛,organ of sight,Her eyes are blue.,她的眼睛是蓝色的。,5
face,v.,脸；面对,front or to meet,We face the challenge.,我们面对挑战。,5
fact,n.,事实,truth,The fact is clear.,事实清楚。,5
facility,n.,设施,building or service,The sports facility is new.,体育设施是新的。,5
