term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
benefit,n./v.,益处；受益,good effect,Exercise benefits health.,运动有益健康。,7
bias,n.,偏见,prejudice,He has a bias.,他有偏见。,7
brief,adj.,简短的,short,Give a brief answer.,给出一个简短的回答。,7
broad,adj.,广泛的,wide,They have broad support.,他们有广泛的支持。,7
bulk,n.,大部分,main mass,The bulk was shipped.,大部分已运出。,7
capable,adj.,有能力的,able,She is capable of lead.,她有能力领导。,7
capacity,n.,容量,ability to hold,The hall has capacity.,大厅有容量限制。,7
category,n.,类别,class,This falls in a category.,这归为一类。,7
cease,v.,停止,to stop,The rain ceased.,雨停了。,7
challenge,n./v.,挑战,difficult task,He faced a challenge.,他面临挑战。,7
channel,n.,渠道,means,Use this channel.,用这个渠道。,7
chapter,n.,章节,a section,Read this chapter.,读这一章。,7
characteristic,n.,特征,trait,This is a key trait.,这是一个关键特征。,7
chemical,adj./n.,化学的,related to chemistry,The chemical reacted.,化学品发生了反应。,7
circumstance,n.,情况,condition,Under the circumstance we left.,在这种情况下我们离开了。,7
cite,v.,引用,to quote,He cited a study.,他引用了一项研究。,7
civil,adj.,公民的,civic,He has civil rights.,他有公民权利。,7
clarify,v.,澄清,to make clear,Please clarify your point.,请澄清你的观点。,7
classic,adj.,经典的,of lasting value,This is a classic book.,这是一本经典书。,7
client,n.,客户,customer,The client arrived.,客户到了。,7
coincide,v.,同时发生,to happen together,The dates coincide.,日期重合了。,7
collapse,v.,倒塌,to fall down,The bridge collapsed.,桥塌了。,7
colleague,n.,同事,coworker,My colleague helped.,我的同事帮了忙。,7
commute,v.,通勤,to travel to work,He commutes daily.,他每天通勤。,7
compatible,adj.,兼容的,able to fit,The parts are compatible.,这些部件兼容。,7
compensate,v.,补偿,to make up for,They compensated the loss.,他们补偿了损失。,7
complex,adj.,复杂的,complicated,The issue is complex.,问题很复杂。,7
component,n.,组件,part,A key component broke.,一个关键部件坏了。,7
compound,n./adj.,化合物；复合的,a mix,Water is a compound.,水是化合物。,7
comprehensive,adj.,全面的,complete,We need a full review.,我们需要全面审查。,7
comprise,v.,包含,to consist of,The team comprises five.,团队由五人组成。,7
compute,v.,计算,to calculate,The machine computes fast.,机器算得很快。,7
conceal,v.,隐藏,to hide,He concealed the truth.,他隐藏了真相。,7
concept,n.,概念,idea,This is a new idea.,这是一个新概念。,7
conclude,v.,总结,to finish,We concluded the talk.,我们结束了谈话。,7
concurrent,adj.,同时的,at the same time,Two events were concurrent.,两件事同时发生。,7
conduct,v.,进行；行为,to carry out,They conducted a test.,他们进行了测试。,7
confer,v.,授予；商议,to grant,The award was conferred.,奖项被颁授。,7
confidential,adj.,机密的,secret,This is a secret file.,这是机密文件。,7
confident,adj.,自信的,sure,She is confident.,她很自信。,7
confine,v.,限制,to limit,They confined the area.,他们限制了区域。,7
confirm,v.,确认,to verify,Please confirm the date.,请确认日期。,7
conflict,n./v.,冲突,disagreement,A conflict arose.,出现了冲突。,7
conform,v.,符合,to comply,He conformed to rules.,他遵守了规则。,7
confront,v.,面对,to face,We confronted the issue.,我们面对了问题。,7
confuse,v.,混淆,to mix up,Do not confuse the terms.,别混淆这些术语。,7
connect,v.,连接,to join,Please connect the wire.,请接上线。,7
conscious,adj.,有意识的,aware,He is conscious now.,他现在清醒了。,7
consecutive,adj.,连续的,in a row,We won three games straight.,我们连赢了三场。,7
consensus,n.,共识,general agreement,They reached a deal.,他们达成了共识。,7
consent,n./v.,同意,permission,He gave his consent.,他同意了。,7
consequent,adj.,随之发生的,following,The rise caused a fall.,上涨导致了下跌。,7
conserve,v.,保护,to preserve,We must conserve water.,我们必须节约用水。,7
consider,v.,考虑,to think about,We considered the plan.,我们考虑了计划。,7
consist,v.,由…组成,to be made of,The set consists of parts.,这套装置由部件组成。,7
constant,adj.,恒定的,steady,The speed is constant.,速度是恒定的。,7
constitute,v.,构成,to form,These form the base.,这些构成了基础。,7
constrain,v.,约束,to restrict,The law constrains us.,法律约束了我们。,7
construct,v.,建造,to build,They constructed a bridge.,他们建了一座桥。,7
consult,v.,咨询,to ask,He consulted a doctor.,他咨询了医生。,7
consume,v.,消耗,to use up,We consumed the food.,我们吃光了食物。,7
contact,n./v.,联系,to reach,Please contact us.,请联系我们。,7
contain,v.,包含,to hold,The box contains gifts.,盒子里有礼物。,7
contemplate,v.,沉思,to consider deeply,He contemplated the view.,他凝视着景色沉思。,7
contemporary,adj.,当代的,modern,This is modern art.,这是当代艺术。,7
content,n.,内容,what is inside,The content is clear.,内容很清晰。,7
contend,v.,主张；竞争,to argue,He contended the point.,他主张这一点。,7
context,n.,语境,setting,Read it in context.,结合语境读。,7
continuity,n.,连续性,ongoing nature,The film lacks flow.,这部电影缺乏连贯性。,7
contract,n./v.,合同；收缩,a deal,They signed a deal.,他们签了合同。,7
contradict,v.,矛盾,to oppose,The facts contradict him.,事实与他的说法矛盾。,7
contrast,n./v.,对比,difference,The contrast is clear.,对比很明显。,7
contribute,v.,贡献,to give,He contributed ideas.,他贡献了想法。,7
controversy,n.,争议,dispute,The topic caused debate.,这个话题引发了争议。,7
convene,v.,召集,to meet,They convened a council.,他们召集了会议。,7
converse,v.,交谈,to talk,We conversed for hours.,我们聊了几个小时。,7
convert,v.,转换,to change,We converted the file.,我们转换了文件。,7
convey,v.,传达,to communicate,He conveyed the news.,他传达了消息。,7
convince,v.,说服,to persuade,She convinced the team.,她说服了团队。,7
cooperate,v.,合作,to work together,We cooperated well.,我们合作得很好。,7
coordinate,v.,协调,to organize,She coordinated the event.,她协调了活动。,7
corporate,adj.,企业的,of a company,The firm grew fast.,这家公司发展很快。,7
correspond,v.,对应,to match,The data correspond.,数据相互对应。,7
couple,n./v.,一对；连接,two,They are a happy pair.,他们是一对佳偶。,7
crucial,adj.,关键的,vital,This is a vital step.,这是关键一步。,7
cultivate,v.,培养,to develop,He cultivated a habit.,他培养了一个习惯。,7
culture,n.,文化,way of life,They value their culture.,他们重视自己的文化。,7
curiosity,n.,好奇心,desire to know,She showed interest.,她表现出好奇心。,7
currency,n.,货币,money,The local money fell.,当地货币贬值了。,7
curriculum,n.,课程,course of study,The school changed courses.,学校调整了课程。,7
cycle,n./v.,循环,a repeating series,The water cycle repeats.,水循环不断重复。,7
debate,n./v.,辩论,discussion,They held a debate.,他们进行了一场辩论。,7
decade,n.,十年,ten years,A lot changed in years.,这十年变化很大。,7
decline,v./n.,下降,to decrease,Sales declined.,销量下降了。,7
deduce,v.,推断,to infer,We deduced the cause.,我们推断出了原因。,7
defect,n.,缺陷,fault,The product had a flaw.,产品有个缺陷。,7
define,v.,定义,to state meaning,Please define the term.,请定义这个术语。,7
definite,adj.,明确的,clear,We need a clear answer.,我们需要明确的答复。,7
demonstrate,v.,证明；演示,to show,He demonstrated the tool.,他演示了工具。,7
deny,v.,否认,to refuse,He denied the claim.,他否认了说法。,7
depress,v.,使沮丧,to sadden,The news depressed her.,这消息让她沮丧。,7
derive,v.,源自,to come from,We derived the formula.,我们推导出了公式。,7
design,v./n.,设计,to plan,She designed a logo.,她设计了一个标志。,7
desire,n./v.,渴望,wish,He desired success.,他渴望成功。,7
detach,v.,分离,to separate,He detached the part.,他拆下了部件。,7
detect,v.,检测,to discover,The system detected error.,系统检测到了错误。,7
deteriorate,v.,恶化,to worsen,The road deteriorated.,路况恶化了。,7
deviate,v.,偏离,to stray,Do not stray from plan.,不要偏离计划。,7
device,n.,设备,tool,The device works well.,设备运行良好。,7
devote,v.,奉献,to dedicate,She devoted her time.,她投入了时间。,7
differentiate,v.,区分,to tell apart,We told the types apart.,我们区分了类型。,7
dilemma,n.,困境,hard choice,He faced a tough choice.,他面临两难。,7
diminish,v.,减少,to lessen,The risk diminished.,风险降低了。,7
discrete,adj.,离散的,separate,We used separate units.,我们用了独立单元。,7
discriminate,v.,区分；歧视,to distinguish,Do not judge by race.,不要以种族区别对待。,7
displace,v.,取代,to replace,The new model displaced old.,新型号取代了旧的。,7
display,v./n.,展示,to show,They displayed the art.,他们展出了艺术品。,7
dispose,v.,处理,to get rid of,Please discard the waste.,请处理掉废物。,7
dispute,n./v.,争端,conflict,They settled the clash.,他们解决了争端。,7
dissect,v.,剖析,to cut apart,We analyzed the text.,我们剖析了文本。,7
distinct,adj.,明显的；独特的,clear,The two are quite different.,两者明显不同。,7
distort,v.,扭曲,to twist,The lens distorted the view.,镜片扭曲了景象。,7
distribute,v.,分发,to spread out,We handed out the flyers.,我们分发了传单。,7
diverse,adj.,多样的,varied,The group is varied.,这个群体很多样。,7
document,n./v.,文件；记录,a paper,Please file the record.,请存档记录。,7
domain,n.,领域,field,This is his field.,这是他的领域。,7
dominate,v.,主导,to control,One team dominated.,一支队伍主导了比赛。,7
doubt,n./v.,怀疑,uncertainty,He had doubts.,他有所怀疑。,7
dual,adj.,双重的,twofold,It has a dual role.,它有双重作用。,7
dynamic,adj.,动态的,changing,The market is changing.,市场是动态的。,7
economy,n.,经济,system of trade,The economy grew.,经济增长了。,7
edit,v.,编辑,to revise,She edited the draft.,她编辑了草稿。,7
element,n.,元素,part,This is a key part.,这是一个关键元素。,7
elevate,v.,提升,to raise,The win raised morale.,胜利提升了士气。,7
eliminate,v.,消除,to remove,We removed the risk.,我们消除了风险。,7
emerge,v.,出现,to appear,The sun emerged.,太阳出来了。,7
emphasize,v.,强调,to stress,He stressed the point.,他强调了重点。,7
empirical,adj.,实证的,based on evidence,We used evidence-based data.,我们用了实证数据。,7
enable,v.,使能够,to make able,The tool enabled speed.,工具提升了速度。,7
encounter,v.,遭遇,to meet,We met a problem.,我们遇到了问题。,7
energy,n.,能量,power,We need more power.,我们需要更多能量。,7
enhance,v.,增强,to improve,This improves the taste.,这增强了味道。,7
enlighten,v.,启发,to inform,The talk enlightened us.,讲座启发了我们。,7
enormous,adj.,巨大的,huge,The cost was huge.,代价巨大。,7
ensure,v.,确保,to make sure,We ensured safety.,我们确保了安全。,7
entity,n.,实体,thing,The firm is a legal body.,这家公司是法律实体。,7
environment,n.,环境,surroundings,We protect the environment.,我们保护环境。,7
equate,v.,等同,to treat as equal,Do not equate the two.,不要将两者等同。,7
equip,v.,装备,to supply,They equipped the lab.,他们装备了实验室。,7
equivalent,adj./n.,等价的,equal in value,This is equal to that.,这等同于那个。,7
essence,n.,本质,nature,The core is simple.,本质很简单。,7
establish,v.,建立,to set up,They set up a fund.,他们设立了一个基金。,7
estate,n.,地产,property,He sold the property.,他卖掉了地产。,7
ethical,adj.,道德的,moral,This is a moral issue.,这是个道德问题。,7
eventually,adv.,最终,in the end,We won in the end.,我们最终赢了。,7
evident,adj.,明显的,clear,The truth is clear.,真相很明显。,7
evolve,v.,进化,to develop,The firm evolved fast.,公司迅速演变。,7
exceed,v.,超过,to go beyond,Costs exceeded budget.,成本超出了预算。,7
exclude,v.,排除,to leave out,We excluded the case.,我们排除了这种情况。,7
exhibit,v./n.,展览,to show,They showed the work.,他们展出了作品。,7
expand,v.,扩张,to grow,The firm expanded abroad.,公司扩张到海外。,7
expect,v.,期待,to anticipate,We expect a reply.,我们期待回复。,7
expert,n.,专家,specialist,He is a specialist.,他是个专家。,7
explicit,adj.,明确的,stated clearly,He gave clear instructions.,他给出了明确指示。,7
exploit,v.,利用,to use,They used the resource.,他们利用了资源。,7
explore,v.,探索,to investigate,We explored the cave.,我们探索了洞穴。,7
export,v./n.,出口,to send abroad,They shipped goods out.,他们出口了货物。,7
expose,v.,暴露,to reveal,The leak exposed the truth.,泄露暴露了真相。,7
extend,v.,延伸,to lengthen,We extended the road.,我们延长了道路。,7
extent,n.,程度,degree,To what degree?,到什么程度？,7
external,adj.,外部的,outer,The outer layer broke.,外层破裂了。,7
factor,n.,因素,element,Price is a key factor.,价格是关键因素。,7
faculty,n.,能力,staff or ability,The staff supported us.,教职员工支持了我们。,7
feature,n./v.,特征；以…为特色,trait,This phone has a key trait.,这款手机有个关键特性。,7
federal,adj.,联邦的,national,The national law applies.,联邦法律适用。,7
fee,n.,费用,charge,The service charge is low.,服务费很低。,7
final,adj.,最终的,last,This is the last step.,这是最后一步。,7
finance,n./v.,金融；融资,money management,He studied money matters.,他研究金融。,7
finite,adj.,有限的,limited,Resources are limited.,资源有限。,7
flexibility,n.,灵活性,ability to adapt,We need more adaptability.,我们需要更多灵活性。,7
fluctuate,v.,波动,to vary,Prices vary often.,价格经常波动。,7
focus,v./n.,聚焦,to concentrate,Please focus on task.,请聚焦于任务。,7
format,n.,格式,layout,Use the proper layout.,用正确的格式。,7
formula,n.,公式,rule,We applied the rule.,我们用了公式。,7
foundation,n.,基础,basis,Trust is the basis.,信任是基础。,7
founder,n.,创始人,creator,The creator left the firm.,创始人离开了公司。,7
function,n./v.,功能；运行,use,The tool works well.,功能运行良好。,7
fundamental,adj.,基本的,basic,This is a basic right.,这是基本权利。,7
furthermore,adv.,此外,also,Also we need time.,此外我们还需要时间。,7
generate,v.,生成,to produce,The plant produces power.,工厂发电。,7
genuine,adj.,真实的,real,This is a real smile.,这是真诚的微笑。,7
global,adj.,全球的,worldwide,This is a worldwide issue.,这是个全球性问题。,7
grade,n./v.,等级；评分,level,He graded the test.,他评了分。,7
grant,v./n.,授予；拨款,to give,They gave a research fund.,他们授予了研究资金。,7
guarantee,v./n.,保证,to promise,We promise quality.,我们保证质量。,7
guilty,adj.,有罪的,at fault,He was found at fault.,他被认定有罪。,7
hazard,n.,危险,risk,This is a safety risk.,这是个安全隐患。,7
highlight,v.,突出,to emphasize,She stressed the key point.,她突出了重点。,7
hypothesis,n.,假设,guess,The guess was correct.,假设是正确的。,7
identical,adj.,相同的,same,The twins are the same.,双胞胎一模一样。,7
identify,v.,识别,to recognize,We recognized the issue.,我们识别出了问题。,7
ideology,n.,意识形态,belief system,The belief shaped policy.,意识形态影响了政策。,7
ignorance,n.,无知,lack of knowledge,He acted from lack of knowledge.,他因无知而行事。,7
illustrate,v.,说明,to explain,He explained with a chart.,他用图表说明。,7
imagine,v.,想象,to picture, Imagine a better world.,想象一个更好的世界。,7
imitate,v.,模仿,to copy,He copied the style.,他模仿了风格。,7
immigrate,v.,移民,to move in,They moved to a new country.,他们移民到了新国家。,7
impact,n./v.,影响,effect,The policy had an effect.,政策产生了影响。,7
implement,v.,实施,to carry out,We carried out the plan.,我们实施了计划。,7
implication,n.,含义,consequence,The result has meaning.,结果有深层含义。,7
implicit,adj.,隐含的,implied,The rule was implied.,规则是隐含的。,7
import,v./n.,进口,to bring in,They brought in goods.,他们进口了货物。,7
impose,v.,强加,to force,They forced a tax.,他们强加了税收。,7
incline,v.,倾向于,to lean,He leaned toward yes.,他倾向于同意。,7
income,n.,收入,earnings,Her earnings rose.,她的收入增加了。,7
index,n.,指数,measure,The price measure rose.,价格指数上升了。,7
indicator,n.,指标,sign,This is a key sign.,这是个关键指标。,7
infer,v.,推断,to deduce,We deduced the trend.,我们推断出了趋势。,7
influence,n./v.,影响,effect,Peers have an effect.,同伴有影响。,7
inform,v.,通知,to tell,Please tell the team.,请通知团队。,7
inherent,adj.,内在的,built-in,The risk is built-in.,风险是固有的。,7
initial,adj.,最初的,first,The first step is key.,第一步很关键。,7
innovate,v.,创新,to create new,They created a new method.,他们创新了方法。,7
input,n.,输入,data in,The data in was wrong.,输入数据有误。,7
insert,v.,插入,to put in,Please put in the key.,请插入钥匙。,7
insight,n.,洞察,deep understanding,She had a deep understanding.,她有深刻的洞察。,7
inspect,v.,检查,to examine,We examined the site.,我们检查了现场。,7
install,v.,安装,to set up,We set up the software.,我们安装了软件。,7
instance,n.,实例,example,For example consider this.,以这个实例为例。,7
instinct,n.,本能,intuition,He acted on intuition.,他凭本能行动。,7
integrate,v.,整合,to combine,We combined the systems.,我们整合了系统。,7
integrity,n.,诚信；完整,honesty,He is known for honesty.,他以诚信著称。,7
intelligent,adj.,聪明的,smart,She is very smart.,她很聪明。,7
intense,adj.,强烈的,strong,The pain was strong.,疼痛很剧烈。,7
interact,v.,互动,to engage,We engaged with users.,我们与用户互动。,7
internal,adj.,内部的,inner,The inner team met.,内部团队开会了。,7
interpret,v.,解释,to explain,He explained the law.,他解释了法律。,7
interval,n.,间隔,gap,There was a long gap.,间隔很长。,7
intervene,v.,干预,to step in,They stepped in to help.,他们介入帮忙。,7
intrinsic,adj.,内在的,innate,The value is innate.,价值是内在的。,7
invest,v.,投资,to put money,They put money in stocks.,他们投资了股票。,7
invoke,v.,调用；引发,to call upon,He cited the clause.,他援引了条款。,7
involve,v.,涉及,to include,The task includes risk.,任务涉及风险。,7
isolate,v.,隔离,to separate,They separated the case.,他们隔离了病例。,7
issue,n./v.,问题；发布,problem,We faced a problem.,我们遇到了问题。,7
joint,adj.,联合的,shared,They made a shared plan.,他们制定了联合计划。,7
justify,v.,证明…合理,to defend,He defended the choice.,他为选择辩护。,7
label,n./v.,标签；贴标签,a tag,Please tag the file.,请给文件贴标签。,7
labor,n.,劳动,work,The work was hard.,劳动很辛苦。,7
layer,n.,层,a level,Add another level.,再加一层。,7
lecture,n./v.,讲座,talk,He gave a talk.,他做了一场讲座。,7
legal,adj.,合法的,lawful,This is a lawful act.,这是合法行为。,7
legitimate,adj.,合法的,valid,The claim is valid.,这个主张合法。,7
level,n.,水平,degree,The water degree rose.,水平上升了。,7
levy,v.,征收,to tax,The state taxed imports.,政府征收了进口税。,7
liberal,adj.,自由的,open-minded,He has open views.,他观点开明。,7
license,n.,执照,permit,He got a permit.,他拿到了执照。,7
link,n./v.,链接；连接,a tie,Click the tie to open.,点击链接打开。,7
locate,v.,定位,to find,We found the office.,我们找到了办公室。,7
logical,adj.,逻辑的,reasonable,His reason is sound.,他的逻辑合理。,7
maintain,v.,维持,to keep,We kept the standard.,我们维持了标准。,7
major,adj.,主要的,main,This is the main issue.,这是主要问题。,7
manipulate,v.,操纵,to control,He controlled the data.,他操纵了数据。,7
manual,adj./n.,手动的；手册,by hand,Read the handbook first.,先读手册。,7
margin,n.,边缘；利润,edge,The edge of the page.,页边空白处。,7
mature,adj.,成熟的,fully grown,He is a grown man.,他是个成熟的人。,7
maximize,v.,最大化,to increase most,We boosted profit most.,我们最大化了利润。,7
mechanism,n.,机制,system,The system failed.,机制失效了。,7
media,n.,媒体,press,The press reported it.,媒体报道了此事。,7
mediate,v.,调解,to settle,They settled the fight.,他们调解了冲突。,7
medium,adj./n.,中等的；媒介,middle,Use the middle size.,用中等尺寸。,7
mental,adj.,心理的,mind-related,He has a strong mind.,他心理素质强。,7
method,n.,方法,way,This is a good way.,这是个好方法。,7
migrate,v.,迁移,to move,They moved north.,他们向北迁移。,7
military,adj.,军事的,of armed forces,The armed forces left.,军队撤离了。,7
minimal,adj.,最小的,least,We kept the cost least.,我们尽量压低成本。,7
minimize,v.,最小化,to reduce most,We cut risk most.,我们最小化了风险。,7
minimum,n.,最小值,least amount,This is the least required.,这是最低要求。,7
ministry,n.,部委,government dept,The dept issued rules.,部委发布了规定。,7
minor,adj.,次要的,small,This is a small issue.,这是次要问题。,7
mode,n.,模式,way,Switch the way.,切换模式。,7
modify,v.,修改,to change,We changed the plan.,我们修改了计划。,7
monitor,v.,监控,to watch,We watched the system.,我们监控了系统。,7
motive,n.,动机,reason,His reason was clear.,他的动机明确。,7
mutual,adj.,相互的,shared,They share respect.,他们相互尊重。,7
narrow,adj.,狭窄的,thin,The path is thin.,小路很窄。,7
national,adj.,国家的,of a country,The country team won.,国家队赢了。,7
native,adj.,本地的,born there,He is a local speaker.,他是本地人。,7
natural,adj.,自然的,from nature,This is a nature trail.,这是自然小径。,7
negative,adj.,负面的,bad,The result was bad.,结果是负面的。,7
neglect,v.,忽视,to ignore,Do not ignore safety.,不要忽视安全。,7
network,n.,网络,a web,The web went down.,网络断了。,7
neutral,adj.,中立的,impartial,He stayed impartial.,他保持中立。,7
nevertheless,adv.,然而,still,Still we persisted.,然而我们坚持了。,7
nonetheless,adv.,尽管如此,even so,Even so we tried.,尽管如此我们还是试了。,7
norm,n.,规范,standard,This is the social standard.,这是社会规范。,7
normal,adj.,正常的,usual,This is the usual case.,这是正常情况。,7
notion,n.,概念,idea,He has a strange idea.,他有个奇怪的想法。,7
nuclear,adj.,核能的,of the atom,The plant was shut.,核电站关闭了。,7
objective,n./adj.,目标；客观的,goal,Our goal is clear.,目标明确。,7
obtain,v.,获得,to get,We got the permit.,我们获得了许可。,7
obvious,adj.,明显的,clear,The answer is clear.,答案很明显。,7
occupy,v.,占据,to fill,The army filled the city.,军队占据了城市。,7
occur,v.,发生,to happen,The event happened fast.,事件很快发生了。,7
odd,adj.,奇怪的；奇数的,strange,That is a strange fact.,那是件怪事。,7
offset,v.,抵消,to balance,The gain balanced the loss.,收益抵消了损失。,7
ongoing,adj.,进行中的,continuing,The work is continuing.,工作仍在进行。,7
option,n.,选项,choice,You have a choice.,你有个选项。,7
orient,v.,定向,to align,We aligned the map.,我们校正了方向。,7
outcome,n.,结果,result,The result was good.,结果不错。,7
output,n.,产出,production,The production rose.,产出增加了。,7
overall,adj.,总体的,total,The total score rose.,总分上升了。,7
panel,n.,小组；面板,group,The group met today.,小组今天开会了。,7
parameter,n.,参数,value,Set the value right.,把参数设对。,7
partial,adj.,部分的,partly,It was a partial win.,那是部分胜利。,7
participant,n.,参与者,player,Each player got a badge.,每位参与者拿到徽章。,7
particular,adj.,特定的,specific,This is a specific case.,这是个特定情况。,7
partner,n.,伙伴,ally,He found a good ally.,他找到了好伙伴。,7
passive,adj.,被动的,inactive,He took an inactive role.,他态度被动。,7
peer,n.,同伴,equal,He asked his equal.,他请教了同龄人。,7
perceive,v.,感知,to sense,We sensed the change.,我们感知到了变化。,7
percent,n.,百分比,part of hundred,Costs rose by ten.,成本上升了十个百分点。,7
period,n.,时期,time span,A long time passed.,一段很长的时期过去了。,7
persist,v.,坚持,to continue,We continued the fight.,我们坚持了下来。,7
perspective,n.,视角,viewpoint,She shared her view.,她分享了自己的视角。,7
phenomenon,n.,现象,event,The event puzzled us.,这个现象令人困惑。,7
philosophy,n.,哲学,belief,His belief guides him.,他的哲学指引着他。,7
physical,adj.,身体的；物理的,of the body,He is in good shape.,他身体状况良好。,7
plus,prep./adj.,加；额外的,added,We need added help.,我们需要额外的帮助。,7
policy,n.,政策,rule,The new rule helps.,新政策有帮助。,7
portion,n.,部分,part,A part was lost.,一部分丢失了。,7
pose,v.,造成；摆姿势,to present,This presents a risk.,这造成了风险。,7
positive,adj.,积极的,good,The news was good.,消息是积极的。,7
potential,adj./n.,潜在的；潜力,possible,He has real promise.,他有潜在实力。,7
poverty,n.,贫困,being poor,The area is poor.,这个地区很贫困。,7
precise,adj.,精确的,exact,Use the exact figure.,用精确的数字。,7
predict,v.,预测,to forecast,We forecast the trend.,我们预测了趋势。,7
predominant,adj.,主导的,main,The main cause is known.,主导原因已知。,7
preliminary,adj.,初步的,early,This is an early step.,这是初步阶段。,7
premium,n./adj.,保费；优质的,extra cost,They paid extra for quality.,他们为优质支付了溢价。,7
presence,n.,存在,being there,His being there helped.,他的在场有帮助。,7
